project_id,project_name,sector,status,ward,budget,contractor_name,description
NCP-0001,Dandora Sewer Line Rehabilitation,Water,Ongoing,Dandora Area III,185000000,Kensew Contractors Ltd,Rehabilitation of trunk sewer lines serving Dandora estates.
NCP-0002,Mukuru Affordable Housing Phase II,Housing,Ongoing,Mukuru kwa Njenga,940000000,Erdemann Property,Construction of 1200 low-cost housing units under the Mukuru SPA.
NCP-0003,Pangani Maternity Wing Upgrade,Health,Completed,Ziwani/Kariokor,62000000,MediBuild Kenya,Expansion and equipping of the maternity wing at Pangani Health Centre.
NCP-0004,Outer Ring Road Footbridge,Infrastructure,Completed,Umoja I,38500000,Kensew Contractors Ltd,Pedestrian footbridge to improve safety along Outer Ring Road.
NCP-0005,Kayole II ECDE Classrooms,Education,Ongoing,Kayole Central,21000000,Jenga Bora Builders,Construction of six new ECDE classrooms across Kayole II primary schools.
NCP-0006,Kibera Storm Drainage Upgrade,Infrastructure,Planned,Sarangombe,150000000,Not yet awarded,Upgrade of storm-water drainage to reduce seasonal flooding in Kibera.
NCP-0007,Eastlands Community Health Centre,Health,Planned,Harambee,88000000,Not yet awarded,New level-3 community health centre serving Eastlands residents.
NCP-0008,Ruaraka Borehole Water Project,Water,Completed,Baba Dogo,14500000,DrillTech Africa,Drilling and equipping of two community boreholes with solar pumping.
NCP-0009,Kawangware Market Redevelopment,Infrastructure,Ongoing,Kawangware,210000000,Metro Construction Co.,Redevelopment of Kawangware open-air market into a modern trading complex.
NCP-0010,Njiru Vocational Training Centre,Education,Ongoing,Njiru,132000000,Jenga Bora Builders,Construction of a new vocational training centre with 4 workshop wings.
NCP-0011,Mathare Slum Upgrading Estate,Housing,Planned,Mabatini,1250000000,Not yet awarded,High-rise resettlement housing for informal-settlement residents in Mathare.
NCP-0012,Ngong Road Cycling Lane,Infrastructure,Completed,Kilimani,45000000,Kensew Contractors Ltd,Dedicated cycling lane and street lighting along Ngong Road.
NCP-0013,Embakasi Water Kiosk Expansion,Water,Ongoing,Upper Savanna,26800000,DrillTech Africa,Installation of 15 new water kiosks across Embakasi wards.
NCP-0014,Starehe Girls Dormitory Block,Education,Completed,Nairobi Central,54000000,MediBuild Kenya,New 200-bed dormitory block for Starehe Girls' Centre.
NCP-0015,Dagoretti Health Centre Ambulance Bay,Health,Planned,Mutu-ini,9800000,Not yet awarded,Construction of an ambulance bay and triage extension.
